id, iata, icao, name, country_id
1256,SCK,KSCK,STOCKTON METROPOLITAN,57
1257,SWO,NULL,SEARCY FIELD,57
1258,ISW,NULL,ALEXANDER FIELD,57
1259,SQI,NULL,WHITESIDE COUNTY,57
1260,SHD,NULL,SHENANDOAH VALEY,57
1261,SCE,NULL,UNIVERSITY PARK,57
1262,SGF,NULL,SPRINGFIELD-BRANSON REGIONAL,57
1263,SPA,NULL,DOWNTOWN MEMORIAL,57
1264,SOP,NULL,PINEHURST-S. PINES,57
1265,SKW,NULL,INTERMEDIATE,57
1266,FSD,NULL,REGIONAL,57
1267,SUX,NULL,SIOUX GATEWAY,57
1268,SVC,NULL,GRANT COUNTY,57
1269,SDY,NULL,RICHLAND MUNICIPAL,57
1270,WSH,NULL,BROOKHAVEN,57
1271,PNX,NULL,GRAYSON COUNTY,57
1272,SHN,NULL,SANDERSON FIELD,57
1273,BTV,NULL,INTERNATIONAL,57
1274,IFP,NULL,LAUGHLIN BULLHEAD INTERNATIONAL,57
1275,BUF,NULL,BUFFALO NIAGARA INTERNATIONAL,57
1276,BQK,NULL,GLYNCO JETPORT,57
1277,BRO,KBRO,SOUTH PADRE ISLAND INTL,57
1278,BRD,NULL,CROW WING COUNTRY,57
1279,BZN,NULL,GALLATIN FIELD,57
1280,BWG,NULL,WARREN COUNTRY,57
1281,BOI,NULL,AIR TERMINAL(GOWEN FIELD),57
1282,BLF,NULL,MERCER COUNTRY,57
1283,BBX,NULL,WINGS FIELD,57
1284,HCA,NULL,HOWARD COUNTY,57
1285,BEH,NULL,ROSS FIELD,57
1286,KBE,NULL,HOT SPRINGS SPB,57
1287,BCS,NULL,SOUTHERN SEAPLANE SPB,57
1288,BED,NULL,HANSCOM FIELD,57
1289,IAH,KIAH,HOUSTON INTERCONTINENTAL,57
1290,EFD,NULL,ELLINGTON FIELD,57
1291,HOU,KHOU,HOUSTON,57
1292,SGR,NULL,SUGAR LAND MUNICIPAL,57
1293,HGR,NULL,WASHINGTON COUNTY REGIONAL,57
1294,FRG,NULL,REPUBLIC FIELD,57
